id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
324084,KR-0106,heliport,"Joongang Heights Ville Helipad",37.658781,126.767984,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Joongang Heights Ville, Goyang"
324085,KR-0107,heliport,"Rodeo Suite Helipad",37.660206,126.770685,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Rodeo Suite, Goyang"
324086,KR-0108,heliport,"Samsung Laqvill Helipad",37.660989,126.765833,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Samsung Laqvill, Goyang"
324093,KR-0109,heliport,"Kolon Lake Polls-II North Helipad",37.66299,126.763639,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Kolon Lake Polls, Goyang"
324094,KR-0110,heliport,"Kolon Lake Polls-II South Helipad",37.662466,126.764152,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Kolon Lake Polls, Goyang"
324095,KR-0111,heliport,"Kolon Lake Polls-III West Helipad",37.663483,126.764358,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Kolon Lake Polls, Goyang"
324097,KR-0112,heliport,"Kolon Lake Polls-III East Helipad",37.663714,126.764757,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Kolon Lake Polls, Goyang"
324098,KR-0113,heliport,"Yang Woo West Helipad",37.664801,126.766546,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Yang Woo, Goyang"
324099,KR-0114,heliport,"Yang Woo East Helipad",37.665011,126.76686,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Yang Woo, Goyang"
324100,KR-0115,heliport,"Hyundai i’Space Helipad",37.663365,126.770849,NaN,AS,KR,KR-41,"Goyang",no,,,,,"","Hyundai i’Space, Goyang"
324101,KR-0116,heliport,"Seoul National University School of Medicine Hospital Helipad",37.580048,126.999086,NaN,AS,KR,KR-11,"Seoul",no,,,,,"","Seoul National University School of Medicine Hospital, Seoul"
324102,KR-0117,heliport,"Kyunghee Medical Medical Hospital Heliport",37.5936,127.051496,NaN,AS,KR,KR-11,"Seoul",no,,,,,"https://en.wikipedia.org/wiki/Kyung_Hee_University#Seoul_campus","Kyunghee Medical Medical Hospital, Seoul"
324104,KR-0118,heliport,"Samsung Medical Center Helipad",37.488244,127.085273,NaN,AS,KR,KR-11,"Irwon-dong (Seoul)",no,,,,,"https://en.wikipedia.org/wiki/Samsung_Medical_Center","Samsung Medical Center, Irwon-dong"
324111,KR-0119,heliport,"Rosedale Building North Helipad",37.487629,127.10338,NaN,AS,KR,KR-11,"Suseo-dong (Seoul)",no,,,,,"","Rosedale Building, Suseo-dong"
324112,KR-0120,heliport,"Rosedale Building South Helipad",37.486714,127.103311,NaN,AS,KR,KR-11,"Suseo-dong (Seoul)",no,,,,,"","Rosedale Building, Seoul"
324113,KR-0121,heliport,"National Police Hospital Heliport",37.496508,127.123605,NaN,AS,KR,KR-11,"Seoul",no,,,,,"","National Police Hospital, Seoul"
324114,KR-0122,heliport,"Poonglim Want North Helipad",37.389569,127.122549,NaN,AS,KR,KR-11,"Seoul",no,,,,,"","Poonglim Want, Seoul"
324115,KR-0123,heliport,"Poonglim Want West Helipad",37.38907,127.121844,NaN,AS,KR,KR-11,"Seoul",no,,,,,"","Poonglim Want West, Seoul"
324116,KR-0124,heliport,"Poonglim Want South Helipad",37.388589,127.12239,NaN,AS,KR,KR-11,"Seoul",no,,,,,"","Poonglim Want, Seoul"
324134,KR-0125,heliport,"Seoul National University Bundang Hospital Helipad",37.352297,127.123343,NaN,AS,KR,KR-41,"Bundang-gu (Seongnam)",no,,,,,"","Seoul National University Bundang Hospital, Bundang-gu, Seongnam"
324144,KR-0126,heliport,"Giljeon-ri Helipad",37.667765,126.452001,NaN,AS,KR,KR-28,"Galjeon-ri",no,,,,,"","Galjeon-ri, Ganghwado"
324145,KR-0127,heliport,"Geomsan-dong Helipad",37.79612,126.751521,NaN,AS,KR,KR-41,"Geomsan-ddong",no,,,,,"","Geomsan-dong"
324147,KR-0128,heliport,"Saeori-ro Helipad",37.808877,126.698162,NaN,AS,KR,KR-41,"Saeori-ro",no,,,,,"","Saeori-ro"
324148,KR-0129,heliport,"Odu Mountain Unification Observatory Helipad",37.773212,126.68008,NaN,AS,KR,KR-41,"Odu Mountain",no,,,,,"","Odu Mountain, Odusan"
324149,KR-0130,heliport,"Odu Mountain Unification Observatory Helipad",37.773212,126.68008,NaN,AS,KR,KR-41,"Odu Mountain",no,,,,,"","Odu Mountain, Odusan"
324150,KR-0131,heliport,"Odu Mountain Unification Observatory Helipad",37.773212,126.68008,NaN,AS,KR,KR-41,"Odu Mountain",no,,,,,"","Odu Mountain, Odusan"
324151,KR-0132,heliport,"Odu Mountain Unification Observatory Helipad",37.773212,126.68008,NaN,AS,KR,KR-41,"Odu Mountain",no,,,,,"","Odu Mountain, Odusan"
324153,KR-0133,heliport,"Sannam-ro Helipads",37.705409,126.696686,NaN,AS,KR,KR-41,"Sannam-ro",no,,,,,"","Sannam-ro"
324155,KR-0134,heliport,"Jangdan Helipad",37.939226,126.751208,NaN,AS,KR,KR-41,"Jangdan",no,,,,,"","Jangdan"
324165,KR-0135,heliport,"Gorangpo-ri Helipad",37.977964,126.829604,NaN,AS,KR,KR-41,"Gorangpo-ri",no,,,,,"","Gorangpo-ri"
324166,KR-0136,heliport,"Duhyeon-ri Helipad",38.038308,126.886019,NaN,AS,KR,KR-41,"Duhyeon-ri",no,,,,,"","Duhyeon-ri"
324167,KR-0137,heliport,"Baengnyeong-ri Helipad",38.056628,126.887657,NaN,AS,KR,KR-41,"Baengnyeong-ri",no,,,,,"","Baengnyeong-ri"
324168,KR-0138,heliport,"Jeokgeo-ri Helipads",38.179802,127.003192,NaN,AS,KR,KR-41,"Jeokgeo-ri",no,,,,,"","Jeokgeo-ri"
324169,KR-0139,heliport,"Deoksan-ri Helipads",38.23829,127.066294,NaN,AS,KR,KR-41,"Deoksan-ri",no,,,,,"","Deoksan-ri"
324170,KR-0140,heliport,"Domil-ri Helipad",38.259303,127.101329,NaN,AS,KR,KR-41,"Domil-ri",no,,,,,"","Domil-ri"
324171,KR-0141,heliport,"Myojang-ro Heliport",38.270551,127.145486,NaN,AS,KR,KR-42,"Myojang-ro",no,,,,,"","Myojang-ro"
324172,KR-0142,heliport,"Sanmyeong-ri Helipad",38.293567,127.178931,NaN,AS,KR,KR-42,"Sanmyeong-ri",no,,,,,"","Sanmyeong-ri"
324173,KR-0143,heliport,"Jeongyeong-gil Helipad",38.299242,127.347009,NaN,AS,KR,KR-42,"Jeongyeong-gil",no,,,,,"","Jeongyeong-gil"
324175,KR-0144,heliport,"Yongyang-ri Helipad",38.283046,127.497491,NaN,AS,KR,KR-42,"Yongyang-ri",no,,,,,"","Yongyang-ri"
324180,KR-0145,heliport,"Yangji-ri West Helipad",38.283579,127.517069,NaN,AS,KR,KR-42,"Yangji-ri",no,,,,,"","Yangji-ri"
324181,KR-0146,heliport,"Yangji-ri East Helipad",38.284501,127.527034,NaN,AS,KR,KR-42,"Yangji-ri",no,,,,,"","Yangji-ri"
324182,KR-0147,heliport,"Yangji-ri North Helipad",38.29187,127.53477,NaN,AS,KR,KR-42,"Yangji-ri",no,,,,,"","Yangji-ri"
324183,KR-0148,heliport,"Bangtong-ri Helipad",38.286356,127.55021,NaN,AS,KR,KR-42,"Bangtong-ri",no,,,,,"","Bangtong-ri"
324188,KR-0149,heliport,"Deungdae-ri North Helipad",38.308304,127.745601,NaN,AS,KR,KR-42,"Deungdae-ri",no,,,,,"","Deungdae-ri"
324189,KR-0150,heliport,"Deungdae-ri South Helipad",38.307402,127.745306,NaN,AS,KR,KR-42,"Deungdae-ri",no,,,,,"","Deungdae-ri"
324190,KR-0151,heliport,"Pungsan-ri East Helipad",38.273386,127.81451,NaN,AS,KR,KR-42,"Pungsan-ri",no,,,,,"","Pungsan-ri"
324191,KR-0152,heliport,"Pungsan-ri West Helipads",38.266556,127.808874,NaN,AS,KR,KR-42,"Pungsan-ri",no,,,,,"","Pungsan-ri"
324195,KR-0153,heliport,"Cheonmi-ri Helipad",38.303598,127.889805,NaN,AS,KR,KR-42,"Cheonmi-ri",no,,,,,"","Cheonmi-ri"
324196,KR-0154,heliport,"Heartbreak Ridge South Helipad",38.295924,128.013562,NaN,AS,KR,KR-42,"Satae-ri",no,,,,,"https://en.wikipedia.org/wiki/Battle_of_Heartbreak_Ridge","Heartbreak Ridge, Satae-ri"
324198,KR-0155,heliport,"Heartbreak Ridge North Helipad",38.300695,128.015867,NaN,AS,KR,KR-42,"Satae-ri",no,,,,,"","Heartbreak Ridge, Satae-ri"
324199,KR-0156,heliport,"Ohyu-ri Helipad",38.285543,128.088065,NaN,AS,KR,KR-42,"Ohyu-ri",no,,,,,"","Ohyu-ri"
324200,KR-0157,heliport,"Ihyeon-ri Helipad",38.320311,128.111755,NaN,AS,KR,KR-42,"Ihyeon-ri",no,,,,,"","Ihyeon-ri"
324201,KR-0158,heliport,"Wolsan-ri West Helipad",38.320456,128.159953,NaN,AS,KR,KR-42,"Wolsan-ri",no,,,,,"","Wolsan-ri"
324202,KR-0159,heliport,"Wolsan-ri East Helipad",38.314054,128.170417,NaN,AS,KR,KR-42,"Wolsan-ri",no,,,,,"","Wolsan-ri"
324203,KR-0160,heliport,"Gajeon Helipad",38.351408,128.20568,NaN,AS,KR,KR-42,"Gajeon",no,,,,,"","Gajeon"
324204,KR-0161,heliport,"Gajeon-ri West Helipad",38.351408,128.20568,NaN,AS,KR,KR-42,"Gajeon-ri",no,,,,,"","Gajeon-ri"
324205,KR-0162,heliport,"Gajeon-ri East Helipad",38.348047,128.264949,NaN,AS,KR,KR-42,"Gajeon-ri",no,,,,,"","Gajeon-ri"
324206,KR-0163,heliport,"Gajeon-ri South Helipad",38.332784,128.270756,NaN,AS,KR,KR-42,"Gajeon-ri",no,,,,,"","Gajeon-ri"
324209,KR-0164,heliport,"Sacheon-ri Helipad",38.418166,128.311373,NaN,AS,KR,KR-42,"Sacheon-ri",no,,,,,"","Sacheon-ri"
324235,KR-0165,heliport,"Gomiseong-ri Helipad",38.429852,128.339042,NaN,AS,KR,KR-42,"Gomiseong-ri",no,,,,,"","Gomiseong-ri"
324236,KR-0166,heliport,"Songgang-ri Helipad",38.425887,128.342368,NaN,AS,KR,KR-42,"Songgang-ri",no,,,,,"","Songgang-ri"
324238,KR-0167,heliport,"Songgang-ri East Heliport",38.425784,128.344845,NaN,AS,KR,KR-42,"Songgang-ri",no,,,,,"","Songgang-ri"
324240,KR-0168,heliport,"Songgang-ri North Helipad",38.43367,128.35271,NaN,AS,KR,KR-42,"Songgang-ri",no,,,,,"","Songgang-ri"
324241,KR-0169,heliport,"Sangwon-ri Helipad",38.40695,128.30156,NaN,AS,KR,KR-42,"Sangwon-ri",no,,,,,"","Sangwon-ri"
324267,KR-0170,heliport,"Tapyeol-ri Helipad",38.399839,128.348492,NaN,AS,KR,KR-42,"Tapyeol-ri",no,,,,,"","Tapyeol-ri"
324268,KR-0171,heliport,"Sanbuk-ri Helipad",38.464816,128.357234,NaN,AS,KR,KR-42,"Sanbuk-ri",no,,,,,"","Sanbuk-ri"
324269,KR-0172,heliport,"Gomiseong-ri North Helipad",38.477279,128.339801,NaN,AS,KR,KR-42,"Gomiseong-ri",no,,,,,"","Gomiseong-ri"
324270,KR-0173,heliport,"Madal-ri",38.518189,128.356321,NaN,AS,KR,KR-42,"Madal-ri",no,,,,,"","Madal-ri"
324271,KR-0174,heliport,"Myeongpa-ri Helipad",38.553311,128.397962,NaN,AS,KR,KR-42,"Myeongpa-ri",no,,,,,"","Myeongpa-ri"
324272,KR-0175,heliport,"Myeongpa-ri East Helipad",38.553256,128.399588,NaN,AS,KR,KR-42,"Myeongpa-ri",no,,,,,"","Myeongpa-ri"
324273,KR-0176,heliport,"Jejin Helipad",38.571418,128.393423,NaN,AS,KR,KR-42,"Jejin",no,,,,,"","Jejin"
324274,KR-0177,heliport,"Myeongho-ri Heliport",38.583822,128.363241,NaN,AS,KR,KR-42,"Myeongho-ri",no,,,,,"","Myeongho-ri"
324278,KR-0178,heliport,"Songhyeon-ri Helipad",38.572299,128.342921,NaN,AS,KR,KR-42,"Songhyeon-ri",no,,,,,"","Songhyeon-ri"
324283,KR-0179,heliport,"Songhyeon-ri South Helipad",38.558955,128.347938,NaN,AS,KR,KR-42,"Songhyeon-ri",no,,,,,"","Songhyeon-ri"
324284,KR-0180,heliport,"Songhyeon-ri North Helipad",38.576859,128.345464,NaN,AS,KR,KR-42,"Songhyeon-ri",no,,,,,"","Songhyeon-ri"
324285,KR-0181,heliport,"Geomjang-ri Helipad",38.543466,128.346904,NaN,AS,KR,KR-42,"Geomjang-ri",no,,,,,"","Geomjang-ri"
324286,KR-0182,heliport,"Myeongpa-ri South Helipad",38.521314,128.335495,NaN,AS,KR,KR-42,"Myeongpa-ri",no,,,,,"","Myeongpa-ri"
324288,KR-0183,heliport,"Sangwon-ri West Helipad",38.399958,128.286519,NaN,AS,KR,KR-42,"Sangwon-ri",no,,,,,"","Sangwon-ri"
324289,KR-0184,heliport,"Cheondochon Helipad",38.237992,128.216771,NaN,AS,KR,KR-42,"Cheondochon",no,,,,,"","Cheondochon"
324290,KR-0185,heliport,"Cheondo-ri Helipad",38.240628,128.210988,NaN,AS,KR,KR-42,"Cheondo-ri",no,,,,,"","Cheondo-ri"
324311,KR-0186,heliport,"Wolhak-ri Helipad",38.146381,128.208403,NaN,AS,KR,KR-42,"Wolhak-ri",no,,,,,"","Wolhak-ri"
324312,KR-0187,heliport,"Wolhak-ri Helipad",38.157743,128.203856,NaN,AS,KR,KR-42,"Wolhak-ri",no,,,,,"","Wolhak-ri"
324313,KR-0188,heliport,"Seoheung-ri Helipad",38.200359,128.210699,NaN,AS,KR,KR-42,"Seoheung-ri",no,,,,,"","Seoheung-ri"
324314,KR-0189,heliport,"Seoheung-ri North Helipad",38.204576,128.210825,NaN,AS,KR,KR-42,"Seoheung-ri",no,,,,,"","Seoheung-ri"
324315,KR-0190,heliport,"Cheondo-ri East Helipad",38.219436,128.224091,NaN,AS,KR,KR-42,"Cheondo-ri",no,,,,,"","Cheondo-ri"
324316,KR-0191,heliport,"Cheondo-ri North Helipad North Helipad",38.230052,128.202126,NaN,AS,KR,KR-42,"Cheondo-ri",no,,,,,"","Cheondo-ri"
324317,KR-0192,heliport,"Hu-ri Helipad",38.310573,128.148074,NaN,AS,KR,KR-41,"Hu-ri",no,,,,,"","Hu-ri"
324318,KR-0193,heliport,"Bia-ri Helipad",38.277833,128.042379,NaN,AS,KR,KR-42,"Bia-ri",no,,,,,"","Bia-ri"
